Date,Open,High,Low,Close,Volume
9/26/2020,10686.57,10820.94,10644.68,10728.6,28420.83666
9/27/2020,10728.59,10799,10594.82,10774.25,30549.48325
9/28/2020,10774.26,10950,10626,10696.12,50095.25173
9/29/2020,10696.11,10867.54,10635.87,10840.48,41874.8984
9/30/2020,10840.58,10849.34,10665.13,10776.59,39596.02732
10/1/2020,10776.59,10920,10437,10619.13,60866.33289
10/2/2020,10619.13,10664.64,10374,10570.4,50130.39371
10/3/2020,10570.4,10603.56,10496.46,10542.06,22298.22134
10/4/2020,10542.07,10696.87,10517.87,10666.63,23212.0016
10/5/2020,10666.62,10798,10615.64,10792.21,34025.76165
10/6/2020,10792.2,10800,10525,10599.66,48674.74047
10/7/2020,10599.65,10681.87,10546.17,10666.39,32811.99028
10/8/2020,10666.4,10950,10530.41,10925.57,51959.69157
10/9/2020,10925.44,11104.64,10829,11050.64,48240.07324
10/10/2020,11050.64,11491,11050.51,11293.22,43648.03694
10/11/2020,11293.22,11445,11221,11369.02,29043.85134
10/12/2020,11369.02,11720.01,11172,11528.25,52825.28371
10/13/2020,11528.24,11557,11300,11420.56,42205.28371
10/14/2020,11420.57,11547.98,11280,11417.89,41415.10602
10/15/2020,11417.89,11617.34,11250.83,11505.12,48760.71768
10/16/2020,11505.13,11541.15,11200,11319.32,48797.7495
10/17/2020,11319.24,11402.42,11255,11360.2,22368.91524
10/18/2020,11360.31,11505,11346.22,11503.14,23284.04119
10/19/2020,11503.14,11823.99,11407.96,11751.47,47414.53469
10/20/2020,11751.46,12038.38,11677.59,11909.99,62134.75066
10/21/2020,11910,13217.68,11886.95,12780.96,114584.4568
10/22/2020,12780.75,13185,12678.08,12968.52,70038.82414
10/23/2020,12968.84,13027.69,12720.08,12923.07,50386.99984
10/24/2020,12923.06,13166.73,12870,13111.73,35952.20907
10/25/2020,13111.73,13350,12888,13028.83,38481.5795
10/26/2020,13029.64,13238.81,12765,13052.19,60951.67299
10/27/2020,13052.15,13789.29,13019.87,13636.17,80796.554
10/28/2020,13636.16,13859.48,12888,13266.4,94440.56123
10/29/2020,13266.4,13642.91,12920.77,13455.7,74872.60213
10/30/2020,13455.69,13669.98,13115,13560.1,70657.77888
10/31/2020,13560.1,14100,13411.5,13791,67339.23852
11/1/2020,13791,13895,13603,13761.5,36285.64853
11/2/2020,13761.49,13830,13195.05,13549.37,64566.42191
11/3/2020,13549.63,14066.11,13284.99,14023.53,74115.63079
11/4/2020,14023.53,14259,13525,14144.01,93016.98826
11/5/2020,14144.01,15750,14093.56,15590.02,143741.5227
11/6/2020,15590.02,15960,15166,15579.92,122618.1977
11/7/2020,15579.93,15753.52,14344.22,14818.3,101431.2066
11/8/2020,14818.3,15650,14703.88,15475.1,65547.17857
11/9/2020,15475.1,15840,14805.54,15328.41,108976.3341
11/10/2020,15328.41,15460,15072.46,15297.21,61681.91961
11/11/2020,15297.21,15965,15272.68,15684.24,78469.74646
11/12/2020,15684.25,16340.7,15440.64,16291.86,102196.3566
11/13/2020,16291.85,16480,15952.35,16320.7,75691.88101
11/14/2020,16320.04,16326.99,15670,16070.45,59116.34718
11/15/2020,16069.56,16180,15774.72,15957,43596.84151
11/16/2020,15957,16880,15864,16713.57,81300.67592
11/17/2020,16713.08,17858.82,16538,17659.38,115221.4031
11/18/2020,17659.38,18476.93,17214.45,17776.12,149019.7881
11/19/2020,17777.75,18179.8,17335.65,17802.82,93009.56101
11/20/2020,17802.81,18815.22,17740.04,18655.67,88423.01849
11/21/2020,18655.66,18965.9,18308.58,18703.8,75577.45839
11/22/2020,18703.8,18750,17610.86,18414.43,81645.73778
11/23/2020,18413.88,18766,18000,18368,82961.50609
11/24/2020,18368.01,19418.97,18018,19160.01,113581.5092
11/25/2020,19160,19484.21,18500.27,18719.11,93266.57689
11/26/2020,18718.83,18915.03,16188,17149.47,181005.2467
11/27/2020,17149.47,17457.62,16438.08,17139.52,85297.02479
11/28/2020,17139.53,17880.49,16865.56,17719.85,64910.69997
11/29/2020,17719.84,18360.05,17517,18184.99,55329.0163
11/30/2020,18185,19863.16,18184.99,19695.87,115463.4669
12/1/2020,19695.87,19888,18001.12,18764.96,127698.7627
12/2/2020,18764.96,19342,18330,19204.09,75911.01348
12/3/2020,19204.08,19598,18867.2,19421.9,66689.39128
12/4/2020,19422.34,19527,18565.31,18650.52,71283.6682
12/5/2020,18650.51,19177,18500,19147.66,42922.74857
12/6/2020,19147.66,19420,18857,19359.4,37043.09186
12/7/2020,19358.67,19420.91,18902.88,19166.9,41372.29629
12/8/2020,19166.9,19294.84,18200,18324.11,61626.94761
12/9/2020,18324.11,18639.57,17650,18541.28,79585.5538
12/10/2020,18541.29,18557.32,17911.12,18254.63,52890.67509
12/11/2020,18254.81,18292.73,17572.33,18036.53,72610.72426
12/12/2020,18036.53,18948.66,18020.7,18808.69,49519.97843
12/13/2020,18808.69,19411,18711.12,19174.99,56560.82174
12/14/2020,19174.99,19349,19000,19273.14,47257.20129
12/15/2020,19273.69,19570,19050,19426.43,61834.36601
12/16/2020,19426.43,21560,19278.6,21335.52,114306.3356
12/17/2020,21335.52,23800,21230,22797.16,184882.4767
12/18/2020,22797.15,23285.18,22350,23107.39,79646.13432
12/19/2020,23107.39,24171.47,22750,23821.61,86045.06468
12/20/2020,23821.6,24295,23060,23455.52,76690.14569
12/21/2020,23455.54,24102.77,21815,22719.71,88030.29724
12/22/2020,22719.88,23837.1,22353.4,23810.79,87033.12616
12/23/2020,23810.79,24100,22600,23232.76,119047.2597
12/24/2020,23232.39,23794.43,22703.42,23729.2,69013.83425
12/25/2020,23728.99,24789.86,23433.6,24712.47,79519.94357
12/26/2020,24712.47,26867.03,24500,26493.39,97806.51339
12/27/2020,26493.4,28422,25700,26281.66,148455.5862
12/28/2020,26281.54,27500,26101,27079.41,79721.7425
12/29/2020,27079.42,27410,25880,27385,69411.59261
12/30/2020,27385,28996,27320,28875.54,95356.05783
12/31/2020,28875.55,29300,27850,28923.63,75508.50515
1/1/2021,28923.63,29600,28624.57,29331.69,54182.92501
1/2/2021,29331.7,33300,28946.53,32178.33,129993.8734
1/3/2021,32176.45,34778.11,31962.99,33000.05,120957.5668
1/4/2021,33000.05,33600,28130,31988.71,140899.8857
1/5/2021,31989.75,34360,29900,33949.53,116049.997
1/6/2021,33949.53,36939.21,33288,36769.36,127139.2013
1/7/2021,36769.36,40365,36300,39432.28,132825.7004
1/8/2021,39432.48,41950,36500,40582.81,139789.9575
1/9/2021,40586.96,41380,38720,40088.22,75785.97968
1/10/2021,40088.22,41350,35111.11,38150.02,118209.5445
1/11/2021,38150.02,38264.74,30420,35404.47,249131.5399
1/12/2021,35410.37,36628,32531,34051.24,133948.152
1/13/2021,34049.15,37850,32380,37371.38,124477.9149
1/14/2021,37371.38,40100,36701.23,39144.5,102950.3894
1/15/2021,39145.21,39747.76,34408,36742.22,118300.9209
1/16/2021,36737.43,37950,35357.8,35994.98,86348.43151
1/17/2021,35994.98,36852.5,33850,35828.61,80157.72738
1/18/2021,35824.99,37469.83,34800,36631.27,70698.11875
1/19/2021,36622.46,37850,35844.06,35891.49,79611.30777
1/20/2021,35901.94,36415.31,33400,35468.23,89368.42292
1/21/2021,35468.23,35600,30071,30850.13,131803.1829
1/22/2021,30851.99,33826.53,28850,32945.17,142971.684
1/23/2021,32950,33456,31390.16,32078,64595.28768
1/24/2021,32078,33071,30900,32259.9,57978.03797
1/25/2021,32259.45,34875,31910,32254.2,88499.22692
1/26/2021,32254.19,32921.88,30837.37,32467.77,84972.20691
1/27/2021,32464.01,32557.29,29241.72,30366.15,95911.96171
1/28/2021,30362.19,33783.98,29842.1,33364.86,92621.14562
1/29/2021,33368.18,38531.9,31915.4,34252.2,231827.0056
1/30/2021,34246.28,34933,32825,34262.88,84889.68134
1/31/2021,34262.89,34342.69,32171.67,33092.98,68742.28038
2/1/2021,33092.97,34717.27,32296.16,33526.37,82718.27688
2/2/2021,33517.09,35984.33,33418,35466.24,78056.65988
2/3/2021,35472.71,37662.63,35362.38,37618.87,80784.33366
2/4/2021,37620.26,38708.27,36161.95,36936.66,92080.7359
2/5/2021,36936.65,38310.12,36570,38290.24,66681.33428
2/6/2021,38289.32,40955.51,38215.94,39186.94,98757.31118
2/7/2021,39181.01,39700,37351,38795.69,84363.67976
2/8/2021,38795.69,46794.45,37988.89,46374.87,138597.5369
2/9/2021,46374.86,48142.19,44961.09,46420.42,115499.8617
2/10/2021,46420.42,47310,43727,44807.58,97154.1822
2/11/2021,44807.58,48678.9,43994.02,47969.51,89561.08145
2/12/2021,47968.66,48985.8,46125,47287.6,85870.0357
2/13/2021,47298.15,48150,46202.53,47153.69,63768.0974
2/14/2021,47156.78,49707.43,47014.17,48577.79,73735.47553
2/15/2021,48580.47,49010.92,45570.79,47911.1,79398.15678
2/16/2021,47911.1,50689.18,47003.62,49133.45,88813.2663
2/17/2021,49133.45,52618.74,48947,52119.71,85743.63782
2/18/2021,52117.67,52530,50901.9,51552.6,60758.04695
2/19/2021,51552.61,56368,50710.2,55906,79659.77802
2/20/2021,55906,57700.46,53863.93,55841.19,80948.20531
2/21/2021,55841.19,58352.8,55477.59,57408.57,58166.70851
2/22/2021,57412.35,57508.47,47622,54087.67,134019.4349
2/23/2021,54087.67,54183.59,44892.56,48891,169375.0251
2/24/2021,48891,51374.99,46988.69,49676.2,91881.20925
2/25/2021,49676.21,52041.73,46674.34,47073.73,83310.67312
2/26/2021,47073.73,48424.11,44106.78,46276.87,109423.2007
2/27/2021,46276.88,48394,45000,46106.43,66060.83429
2/28/2021,46103.67,46638.46,43000,45135.66,83055.36904
3/1/2021,45134.11,49790,44950.53,49587.03,85086.11165
3/2/2021,49595.76,50200,47047.6,48440.65,64221.06214
3/3/2021,48436.61,52640,48100.71,50349.37,81035.91371
3/4/2021,50349.37,51773.88,47500,48374.09,82649.71683
3/5/2021,48374.09,49448.93,46300,48751.71,78192.49637
3/6/2021,48746.81,49200,47070,48882.2,44399.23424
3/7/2021,48882.2,51450.03,48882.2,50971.75,55235.02803
3/8/2021,50959.11,52402.78,49274.67,52375.17,66987.35966
3/9/2021,52375.18,54895,51789.41,54884.5,71656.73708
3/10/2021,54874.67,57387.69,53005,55851.59,84749.23894
3/11/2021,55851.59,58150,54272.82,57773.16,81914.81286
3/12/2021,57773.15,58081.51,54962.84,57221.72,73405.40605
3/13/2021,57221.72,61844,56078.23,61188.39,83245.09135
3/14/2021,61188.38,61724.79,58966.78,58968.31,52601.05275
3/15/2021,58976.08,60633.43,54600,55605.2,102771.4273
3/16/2021,55605.2,56938.29,53271.34,56900.75,77986.69436
3/17/2021,56900.74,58974.73,54123.69,58912.97,70421.62084
3/18/2021,58912.97,60129.97,57023,57648.16,66580.40668
3/19/2021,57641,59468,56270.74,58030.01,52392.65296
3/20/2021,58030.01,59880,57820.17,58102.28,44476.94178
3/21/2021,58100.02,58589.1,55450.11,57351.56,48564.47027
3/22/2021,57351.56,58430.73,53650,54083.25,62581.62617
3/23/2021,54083.25,55830.9,53000,54340.89,59789.36543
3/24/2021,54342.8,57200,51700,52303.65,83537.46502
3/25/2021,52303.66,53287,50427.56,51293.78,87400.53454
3/26/2021,51293.78,55073.46,51214.6,55025.59,63813.77469
3/27/2021,55025.59,56700.36,53950,55817.14,50105.47506
3/28/2021,55817.14,56559.75,54691.84,55777.63,39050.38751
3/29/2021,55777.65,58405.82,54800.01,57635.47,67857.9374
3/30/2021,57635.46,59368,57071.35,58746.57,55122.44312
3/31/2021,58746.57,59800,56769,58740.55,60975.54267
4/1/2021,58739.46,59490,57935.45,58720.44,47415.61722
4/2/2021,58720.45,60200,58428.57,58950.01,47382.41878
4/3/2021,58950.01,59791.72,56880,57051.94,47409.85211
4/4/2021,57051.95,58492.85,56388,58202.01,41314.08197
4/5/2021,58202.01,59272,56777.77,59129.99,54258.01579
4/6/2021,59129.99,59495.24,57413.02,57991.15,54201.00073
4/7/2021,57990.03,58655,55473,55953.45,71228.40566
4/8/2021,55953.44,58153.31,55700,58077.52,44283.14702
4/9/2021,58077.52,58894.9,57654,58142.54,40831.88491
4/10/2021,58142.55,61500,57900.01,59769.13,69906.42412
4/11/2021,59769.13,60699,59232.52,60002.43,41156.71539
4/12/2021,59998.8,61300,59350.59,59860,56375.03712
4/13/2021,59860.01,63777.77,59805.15,63575,82848.68875
4/14/2021,63575.01,64854,61301,62959.53,82616.34399
4/15/2021,62959.53,63800,62020,63159.98,51649.70034
4/16/2021,63158.74,63520.61,60000,61334.8,91764.13988
4/17/2021,61334.81,62506.05,59580.91,60006.66,58912.25613
4/18/2021,60006.67,60499,50931.3,56150.01,124882.1318
4/19/2021,56150.01,57526.81,54221.58,55633.14,78229.04227
4/20/2021,55633.14,57076.24,53329.96,56425,72744.48215
4/21/2021,56425,56757.91,53536.02,53787.63,66984.75691
4/22/2021,53787.62,55521.48,50500,51690.96,104656.6313
4/23/2021,51690.95,52131.85,47500,51125.14,132230.7807
4/24/2021,51110.56,51166.22,48657.14,50047.84,55361.51257
4/25/2021,50047.84,50567.91,46930,49066.77,58255.645
4/26/2021,49066.76,54356.62,48753.44,54001.39,86310.80212
4/27/2021,54001.38,55460,53222,55011.97,54064.03468
4/28/2021,55011.97,56428,53813.16,54846.22,55130.45902
4/29/2021,54846.23,55195.84,52330.94,53555,52486.01946
4/30/2021,53555,57963,53013.01,57694.27,68578.91005
5/1/2021,57697.25,58458.07,56956.14,57800.37,42600.35184
5/2/2021,57797.35,57911.02,56035.25,56578.21,36812.87886
5/3/2021,56578.21,58981.44,56435,57169.39,57649.93129
5/4/2021,57169.39,57200,53046.69,53200.01,85324.6259
5/5/2021,53205.05,58069.82,52900,57436.11,77263.92344
5/6/2021,57436.11,58360,55200,56393.68,70181.67191
5/7/2021,56393.68,58650,55241.63,57314.75,74542.74783
5/8/2021,57315.49,59500,56900,58862.05,69709.90603
5/9/2021,58866.53,59300,56235.66,58240.84,69806.11991
5/10/2021,58240.83,59500,53400,55816.14,89586.34925
5/11/2021,55816.14,56862.43,54370,56670.02,64329.54055
5/12/2021,56670.02,58000.01,48600,49631.32,99842.78984
5/13/2021,49537.15,51367.19,46000,49670.97,147332.0021
5/14/2021,49671.92,51483,48799.75,49841.45,80082.20431
5/15/2021,49844.16,50700,46555,46762.99,89437.44936
5/16/2021,46762.99,49795.89,43825.39,46431.5,114269.8128
5/17/2021,46426.83,46686,42001,43538.04,166657.1727
5/18/2021,43538.02,45799.29,42250.02,42849.78,116979.8608
5/19/2021,42849.78,43584.9,30000,36690.09,354347.2432
5/20/2021,36671.23,42451.67,34850,40526.64,203017.5969
5/21/2021,40525.39,42200,33488,37252.01,202100.8883
5/22/2021,37263.35,38829,35200.62,37449.73,126542.2437
5/23/2021,37458.51,38270.64,31111.01,34655.25,217136.0466
5/24/2021,34681.44,39920,34031,38796.29,161630.894
5/25/2021,38810.99,39791.77,36419.62,38324.72,111996.2284
5/26/2021,38324.72,40841,37800.44,39241.91,104780.7734
5/27/2021,39241.92,40411.14,37134.27,38529.98,86547.15879
5/28/2021,38529.99,38877.83,34684,35663.49,135377.6297
5/29/2021,35661.79,37338.58,33632.76,34605.15,112663.0927
5/30/2021,34605.15,36488,33379,35641.27,73535.38697
5/31/2021,35641.26,37499,34153.84,37253.81,94160.73529
6/1/2021,37253.82,37894.81,35666,36693.09,81234.66377
6/2/2021,36694.85,38225,35920,37568.68,67587.3725
6/3/2021,37568.68,39476,37170,39246.79,75889.10601
6/4/2021,39246.78,39289.07,35555.15,36829,91317.79925
6/5/2021,36829.15,37925,34800,35513.2,70459.62149
6/6/2021,35516.07,36480,35222,35796.31,47650.20664
6/7/2021,35796.31,36900,33300,33552.79,77574.95257
6/8/2021,33556.96,34068.01,31000,33380.81,123251.189
6/9/2021,33380.8,37534.79,32396.82,37388.05,136607.5975
6/10/2021,37388.05,38491,35782,36675.72,109527.2849
6/11/2021,36677.83,37680.4,35936.77,37331.98,78466.0053
6/12/2021,37331.98,37463.63,34600.36,35546.11,87717.54999
6/13/2021,35546.12,39380,34757,39020.57,86921.02556
6/14/2021,39020.56,41064.05,38730,40516.29,108522.3919
6/15/2021,40516.28,41330,39506.4,40144.04,80679.62284
6/16/2021,40143.8,40527.14,38116.01,38349.01,87771.97694
6/17/2021,38349,39559.88,37365,38092.97,79541.30712
6/18/2021,38092.97,38202.84,35129.29,35819.84,95228.04294
6/19/2021,35820.48,36457,34803.52,35483.72,68712.44946
6/20/2021,35483.72,36137.72,33336,35600.16,89878.17085
6/21/2021,35600.17,35750,31251.23,31608.93,168778.8732
6/22/2021,31614.12,33298.78,28805,32509.56,204208.1798
6/23/2021,32509.56,34881,31683,33678.07,126966.1006
6/24/2021,33675.07,35298,32286.57,34663.09,86625.80426
6/25/2021,34663.08,35500,31275,31584.45,116061.1304
6/26/2021,31576.09,32730,30151,32283.65,107820.3753
6/27/2021,32283.65,34749,31973.45,34700.34,96613.24421
6/28/2021,34702.49,35297.71,33862.72,34494.89,82222.26782
6/29/2021,34494.89,36600,34225.43,35911.73,90788.79622
